"id","sample","QUESTNNR","day0","date","STARTED","PN05_01","PN05_02","PN05_03","PN05_04","PN05_05","PN05_06","PN05_07","PN05_08","PN05_09","PN06_01","PN06_02","PN06_03","PN06_04","PN06_05","PN06_06","PN06_07","PN06_08","PN06_09","AF02_01","AF02_02","AF02_03","AF02_04","AF02_05","AF02_06","AF02_07","AF02_08","AF02_09","AF02_10","ST53","ST53_01","ST53_02","ST53_03","ST53_04","DS06_01","DS06_02","ST54_01","ST54_04","ST54_02","ST54_05","ST54_03","ST54_06","ST54_07","ST54_08","ST54_09","ST54_10","ST54_11","PA21_01","PA21_02","PA22_01","PA22_02","PA23_01","PA23_03","PA23_02","PA23_05","PA23_04","PA23_07","PA23_06","PA23_08","PA24_01","PA24_03","PA24_02","PA24_05","PA24_04","PA24_07","PA24_06","PA24_08","LASTDATA","FINISHED","LASTPAGE","MAXPAGE","toolate","noncompliance_eod","case"
"TTlGjDnYES","original","d5b6",4,2021-04-16,2021-04-16 21:00:25,5,1,1,5,4,4,5,4,4,1,1,1,3,1,1,1,1,6,5,1,1,5,1,5,1,3,1,5,1,FALSE,FALSE,FALSE,TRUE,4,15,6,1,4,1,6,1,6,4,5,5,1,2,0,2,0,5,5,1,1,1,1,1,4,7,4,1,1,2,1,1,1,2021-04-16 21:08:58,TRUE,9,9,0,0,"4115"
"TTlGjDnYES","original","d6b6",5,2021-04-17,2021-04-17 21:00:12,6,1,4,5,4,4,5,5,5,1,1,1,1,4,1,1,5,7,5,1,1,5,1,5,1,5,2,6,1,FALSE,FALSE,FALSE,TRUE,5,55,5,1,6,1,5,1,7,2,5,4,1,4,0,4,0,7,6,1,1,5,1,1,1,7,7,1,1,5,1,1,1,2021-04-17 21:11:31,TRUE,9,9,0,0,"4384"
"TTlGjDnYES","original","d7b6",6,2021-04-18,2021-04-18 21:00:11,7,1,1,7,7,4,7,5,4,1,1,1,1,5,1,1,4,7,7,1,1,7,5,6,1,7,1,7,1,FALSE,FALSE,FALSE,TRUE,4,0,7,1,7,1,7,1,7,1,5,5,1,3,0,3,0,7,5,4,1,5,1,2,1,7,7,1,1,4,1,1,1,2021-04-18 21:08:37,TRUE,9,9,0,0,"4608"
"TTlGjDnYES","original","d11b6",10,2021-06-03,2021-06-03 21:00:09,6,1,1,6,1,4,6,7,6,2,1,1,1,5,1,2,1,5,5,1,5,3,7,5,3,1,2,4,1,FALSE,FALSE,FALSE,TRUE,1,30,5,1,5,1,6,2,7,1,6,3,1,2,40,2,40,5,5,5,1,6,1,1,1,6,7,7,1,4,2,1,1,2021-06-03 21:04:00,TRUE,9,9,0,0,"15290"
"TTlGjDnYES","original","d14b6",13,2021-06-06,2021-06-06 21:00:17,7,1,1,7,1,7,7,1,7,1,1,1,1,4,1,1,1,7,7,1,1,7,6,5,1,1,1,5,1,FALSE,FALSE,FALSE,TRUE,0,0,5,1,5,7,4,1,7,1,5,5,1,1,0,4,0,7,7,1,1,7,1,1,1,7,7,7,1,7,1,1,1,2021-06-06 21:10:28,TRUE,9,9,0,0,"15909"
"sXxVmAxGVF","original","d1b6",0,2021-05-10,2021-05-10 22:16:54,5,1,1,4,1,4,4,1,3,1,1,5,6,1,1,1,1,2,5,1,3,5,3,5,1,3,2,4,1,FALSE,TRUE,FALSE,FALSE,5,30,3,1,5,1,2,4,2,4,2,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-10 22:19:19,TRUE,9,9,0,0,"10001"
"sXxVmAxGVF","original","d2b6",1,2021-05-11,2021-05-11 22:41:26,1,1,1,4,3,4,1,3,1,4,3,2,1,2,2,1,1,3,3,2,2,4,5,3,1,2,2,2,1,FALSE,TRUE,FALSE,FALSE,7,0,4,2,1,2,3,7,1,5,2,2,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-11 22:44:47,TRUE,9,9,0,0,"10239"
"sXxVmAxGVF","original","d3b6",2,2021-05-12,2021-05-12 22:03:28,1,1,1,3,1,6,1,1,1,1,3,1,1,1,1,1,1,3,2,1,7,4,6,2,2,2,1,3,1,FALSE,TRUE,FALSE,FALSE,3,15,2,1,2,2,1,3,5,1,1,1,2,0,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-12 22:05:34,TRUE,9,9,0,0,"10443"
"sXxVmAxGVF","original","d4b6",3,2021-05-13,2021-05-13 22:34:14,5,1,1,3,4,5,5,3,5,3,3,1,1,3,1,1,1,3,4,1,2,4,7,5,1,3,1,4,1,FALSE,FALSE,FALSE,TRUE,1,0,4,3,4,3,3,5,3,5,2,2,1,0,0,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-05-13 22:36:24,TRUE,9,9,0,0,"10640"
"sXxVmAxGVF","original","d5b6",4,2021-05-14,2021-05-14 22:11:52,5,1,1,4,2,5,4,3,4,2,2,1,1,4,2,1,1,2,5,1,2,5,3,5,1,3,1,4,1,FALSE,TRUE,FALSE,FALSE,4,0,3,1,3,1,1,2,5,1,3,1,1,0,0,0,10,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,1,-1,1,1,1,2021-05-14 22:14:01,TRUE,9,9,0,0,"10955"
"sXxVmAxGVF","original","d6b6",5,2021-05-15,2021-05-15 22:45:50,6,1,1,4,1,5,7,1,5,1,1,1,1,1,1,1,1,4,5,1,1,5,3,5,1,3,1,5,1,FALSE,FALSE,FALSE,TRUE,1,0,2,1,5,1,1,1,5,1,1,1,1,3,0,3,0,7,7,1,1,4,1,1,1,7,7,1,1,4,1,1,1,2021-05-15 22:47:46,TRUE,9,9,0,0,"11197"
"sXxVmAxGVF","original","d8b6",7,2021-06-28,2021-06-28 22:51:45,4,3,5,2,1,5,4,1,4,7,6,6,1,1,4,1,1,1,3,1,1,4,4,3,1,2,3,6,1,FALSE,TRUE,FALSE,FALSE,6,0,1,2,2,3,2,4,3,5,1,1,1,5,0,1,0,7,7,-1,1,-1,1,1,1,7,7,-1,1,-1,1,1,1,2021-06-28 22:54:10,TRUE,9,9,0,0,"19994"
"sXxVmAxGVF","original","d9b6",8,2021-06-29,2021-06-29 22:51:23,4,3,5,5,1,5,3,1,4,1,1,7,7,1,1,3,1,1,2,2,6,5,3,2,4,2,3,4,1,FALSE,TRUE,FALSE,FALSE,5,0,1,1,4,2,1,2,5,1,3,2,2,2,0,0,0,7,7,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2021-06-29 22:53:42,TRUE,9,9,0,0,"20156"
