"session","created","modified","ended","expired","sex","birthyear","code_anonyme","mother_tongue","other_languages","years_of_studies","occupation","country_living"
"DB161096_XXXsr_cLSZBKPX0Z7SqgtON6WiA34HXFZ1U50mNsJE2GrnbJqdoDZsh",2021-02-25 08:28:35,2021-02-25 08:31:18,2021-02-25 08:31:18,NA,1,1996,"DB161096","Français","Néerlandais,Anglais",12,3,"Belgique"
"DF240797_XXXfmxWP7AeN_BSCWg4sHRz9vjG9QxwDL4f2dMvZNZZJUNMakZpLVAT",2021-05-05 11:54:50,2021-05-05 11:59:09,2021-05-05 11:59:09,NA,2,1997,"DF240797","Français","Anglais",11,3,"Belgique"
"DS141297_XXXUFqEe2xCMKfRBjBRTV_xezIccpLePliCSJ0Ge_btmfav7_oF4nbw",2021-03-03 17:14:09,2021-03-03 17:15:04,2021-03-03 17:15:04,NA,2,1997,"DS141297","Français","Anglais",11,3,"Belgique"
"EA071098_XXXq4yG6lEBQEGEWjgwhKaXbC5s4FyfnnUpu_UtC12TnhXZFdfS_3MG",2021-03-23 18:48:18,2021-03-23 18:50:28,2021-03-23 18:50:28,NA,2,1998,"EA071098","Français","Français",10,3,"Belgique"
"FJ040798_XXXtlI6aDaEygrITuKA6altQR0faD4A5_X5y1-zad_ZeZjTFdgaJ-Og",2021-03-02 16:46:35,2021-03-02 16:49:22,2021-03-02 16:49:22,NA,1,1998,"FJ040798","Français","Anglais",11,3,"Belgique"
"FM281194_XXXPsb932P8is146JyPD9K6OnF1ch598ZYUoRCwEly92ly_UYwcFpbs",2021-03-17 17:38:38,2021-03-17 17:39:50,2021-03-17 17:39:50,NA,2,1994,"FM281194","Français","Français",10,2,"Belgique"
"IC180602_XXX6pfB3W2fEkJOyN3NPHIEJvQPNblTEdu5kyiDbNBU3EGME6FSivLH",2021-03-02 17:26:07,2021-03-02 17:27:48,2021-03-02 17:27:48,NA,2,2021,"IC180602","Français","Anglais",6,3,"Belgique"
"JR130598_XXXhwHU2_EauIbottrD-MKgqZv7962uicJk9hsjTemywCQY9qIO_joI",2021-02-25 15:17:40,2021-02-25 15:19:24,2021-02-25 15:19:24,NA,2,1998,"JR130598","Français","Arabe",10,3,"Belgique"
"KE180100_XXXqU8A8yzLTrJzqoTpXkc6q22RqcDl0WlhbmbnF2S6df6GUW0lfuY6",2021-04-15 15:21:21,2021-04-15 15:23:14,2021-04-15 15:23:14,NA,2,2021,"KE180100","Français","Français",9,3,"Belgique"
"KJ131220_XXXEjZMLFQUmB5JkoxTVu_Zb9sVvlbHjuMUx6-6GdN7YaW06Huu6iWe",2021-02-25 16:17:25,2021-02-25 16:18:32,2021-02-25 16:18:32,NA,2,2021,"KJ131220","Français","Français",9,3,"Belgique"
"LF280801_XXXgvaf5Lr7Lfj9olx6C2WoRrpD6fbJL6OoPOO9ZRrSFIvmI3o2uwoq",2021-03-19 15:45:42,2021-03-19 15:48:07,2021-03-19 15:48:07,NA,2,2021,"LF280801","Français","Néerlandais",7,3,"Belgique"
"MD231197_XXXS_ytp6cerrIi1gdeoOXOML08VoNXh2HmXPIDnVZXMqux2-zMwGgS",2021-03-23 16:22:04,2021-03-23 16:23:19,2021-03-23 16:23:19,NA,2,1997,"MD231197","Français","Anglais",11,3,"Belgique"
"MJ020302_XXXWAEP_LsXO6dCW7WOgQeUtgjyqZogUWwgb8vGS6z0k7hIX0cCn730",2021-03-29 13:52:43,2021-03-29 13:54:41,2021-03-29 13:54:41,NA,2,2021,"MJ020302","Français","Anglais",7,3,"Belgique"
"MM160500_XXX4xrwHG7up8Iv7pkGf78-HN7W4lbih5oI5Q4MXE85IKImu-hdoq12",2021-03-22 19:32:35,2021-03-22 19:34:32,2021-03-22 19:34:32,NA,1,2021,"MM160500","Français","Français",8,3,"Belgique"
"MP310199_XXXGTLs-i-m_Qadcnwz7aE2iVmogGTDLI8hbVFypIH7rgQml_OYqccY",2021-05-04 12:53:32,2021-05-04 13:17:03,2021-05-04 13:17:03,NA,2,1999,"MP310199","Français","Anglais,Néerlandais",11,3,"Belgique"
"MT190201_XXXG9fQZ5_3cILZkL8pCp86JBIe07gLWjWHeqHuEgZYA3JZJRtTF5No",2021-04-21 16:21:29,2021-04-21 16:22:35,2021-04-21 16:22:35,NA,2,2021,"MT190201","Français","Anglais",7,3,"Belgique"
"NA110498_XXXEO98e4oNOL2LDLVnWj_NIFAbvv2wReaArCmJuy0IukB8dZDv-p9a",2021-05-17 14:24:12,2021-05-17 14:25:28,2021-05-17 14:25:28,NA,1,1999,"NA110499","Français","Anglais",10,3,"Belgique"
"NB130302_XXXPMOpWlBehKXA7jVQGX6OjPoRoeml44oyf6_w1g02DRe2ghK0H_Iu",2021-05-25 20:46:31,2021-05-25 20:48:57,2021-05-25 20:48:57,NA,2,2021,"NB130302","Français","Français,Néerlandais",7,3,"Belgique"
"NC210501_XXX82Edb5vk1b0RfjuaYb2zr0_hL4HrKuZSuVHJWLhMP6zBZXXMIEG2",2021-03-02 17:40:49,2021-03-02 17:41:38,2021-03-02 17:41:38,NA,2,2021,"NC210501","Français","Anglais",8,3,"Belgique"
"NP170801_XXXL1Gm3eBU954z8Dqe_IOsgJk-c4qkOgh-XHx18C-AfSr1hcLThIA0",2021-02-25 15:46:29,2021-02-25 15:48:20,2021-02-25 15:48:20,NA,1,2021,"NP170801","Français","Français",7,3,"Belgique"
"NV070602_XXXVOMGiM7k_VhajkmsVfqHQ4vcqMefijGoReNz82FpkrrsCg5COOEs",2021-03-02 14:50:24,2021-03-02 14:52:38,2021-03-02 14:52:38,NA,2,2002,"NV070602","Français","Anglais",6,3,"Belgique"
"PA020496_XXXihs0IIHMu7Nuw8bbhXcltsCSLtSWIZZ4CYVt35Uc-pFXas2tH7gV",2021-03-03 17:47:02,2021-03-03 17:49:17,2021-03-03 17:49:17,NA,2,1996,"PA2496","Français","Anglais",10,3,"Belgique"
"PF040700_XXXFr5DK3lTeskGHwsFxF8BIi4LAqtguy-MJi6299nFaxcAsmTMVftI",2021-03-22 22:52:11,2021-03-22 22:54:34,2021-03-22 22:54:34,NA,1,2000,"PF040700","Français","Anglais",9,3,"Belgique"
"PW040998_XXXcEV3Vt1q6R8pOcoXYblgaBGM98wozf0c8XnT5CBFFdoIdusLuFGn",2021-02-26 23:00:28,2021-02-26 23:03:15,2021-02-26 23:03:15,NA,2,1998,"PW040998","Allemand","Français,Anglais",10,3,"Belgique"
"SA050398_XXXoGO56B3JjwYvB3YrHNt2Jz2k_DIuVC2i-bLOMDpbl1cE7TpRZeuh",2021-02-25 16:42:43,2021-02-25 16:44:08,2021-02-25 16:44:08,NA,2,1998,"SA050398","Français","Anglais",10,3,"Belgique"
"SF131273_XXXVVsvGKeHGTItzAULL0q0se4i7sAQpAzrW0WOATLw0MrT7fMPCQCp",2021-03-22 22:51:00,2021-03-22 22:53:06,2021-03-22 22:53:06,NA,1,2021,"Sf040900","Français","Anglais",9,3,"Belgique"
"SH230995_XXXpPdcf9mlWYe-l7RieZyRs7a6rhHEElr2ORPb0MeCAMAoOFIJKtHw",2021-03-01 10:43:07,2021-03-01 10:44:28,2021-03-01 10:44:28,NA,2,1995,"SH230995","Français","Néerlandais,Anglais",12,1,"Belgique"
"SR080398_XXXZaZ3E-M-lHXFrEGacZOVWGl4eT8rWOXg1zTVr_Ovh9nbArry2g_m",2021-03-02 16:05:27,2021-03-02 16:07:13,2021-03-02 16:07:13,NA,2,1998,"SR080398","Français","Anglais",10,3,"Belgique"
"VL091000_XXX_11gjMhozIAH3F-afJiOdBco0t_q8WVVGzoZcGrBoUcC5Hf7qYYx",2021-05-03 15:52:00,2021-05-03 15:53:28,2021-05-03 15:53:28,NA,2,2000,"VL091000","Français","Anglais",9,3,"Belgique"
"VN120599_XXXKic221LroZatXt_7P-cTyYUVV3g0dxtfuger4BIGs4JhvRJdVRG1",2021-02-26 11:21:26,2021-02-26 11:23:06,2021-02-26 11:23:06,NA,2,1999,"VN120599","Français","Anglais",10,3,"Belgique"
