id	date	day	beep	positive_affect	negative_affect	urgency	er_no_try	er_accept	er_advice	er_reappraisal	er_problem_solving	er_introspection	er_exp_suppress	er_emo_suppress	er_distraction	effectiveness	social_context	er_number_strategies	alone
3056	2016-10-28T19:27:37.450797	2	NA	73	16	24	0	0	0	0	0	1	0	0	1	69	Classmate/coworker	2	0
3056	2016-10-27T18:30:20.328787	1	NA	84	1	23	0	1	0	1	0	0	0	0	1	56	Romantic partner/close friend	3	0
3056	2016-10-30T09:42:15.915803	4	NA	55	30	60	0	0	0	0	1	0	0	0	0	65	Romantic partner/close friend	1	0
3056	2016-11-03T11:06:03.422209	8	NA	71	17	8	0	0	0	0	1	0	0	0	0	60	I am alone	1	1
3059	2016-11-07T20:18:14.404092	8	NA	26	63	70	0	0	0	0	1	0	0	0	0	57	I am alone	1	1
3059	2016-11-02T11:39:00.668570	3	NA	56	43	59	0	0	0	0	1	0	0	0	0	54	Romantic partner/close friend	1	0
3059	2016-11-05T19:27:45.644239	6	NA	64	18	12	0	0	1	0	0	0	0	0	1	81	Family member	2	0
3059	2016-11-06T15:03:19.423156	7	NA	18	72	63	0	0	0	0	1	0	0	0	0	41	I am alone	1	1
3059	2016-11-06T17:39:31.368670	7	NA	22	73	72	0	0	0	0	1	0	0	0	0	49	I am alone	1	1
3059	2016-11-07T10:28:54.714680	8	NA	9	78	73	0	0	0	0	0	0	1	0	0	36	Classmate/coworker	1	0
3059	2016-11-07T11:56:54.075865	8	NA	58	60	62	0	0	0	0	1	0	0	0	0	43	Classmate/coworker	1	0
3059	2016-11-09T16:15:20.864633	10	NA	31	71	66	0	0	0	0	0	1	0	0	0	55	Romantic partner/close friend	1	0
3059	2016-11-08T17:53:45.428220	9	NA	47	49	58	0	0	0	0	1	0	0	0	0	49	I am alone	1	1
3059	2016-11-09T09:59:29.503659	10	NA	1	100	100	0	1	0	0	0	0	0	0	1	47	I am alone	2	1
3059	2016-11-09T11:01:57.754451	10	NA	21	74	87	0	1	0	0	0	0	0	0	0	52	Romantic partner/close friend	1	0
3059	2016-11-13T12:10:00.287075	14	NA	40	62	64	0	0	0	0	1	0	0	0	0	48	Romantic partner/close friend	1	0
3059	2016-11-09T19:00:56.464131	10	NA	30	69	66	0	1	0	0	0	0	0	0	0	52	I am alone	1	1
3059	2016-11-10T16:01:27.058839	11	NA	28	67	69	0	1	0	0	0	1	0	0	0	46	Acquaintance/stranger	2	0
3059	2016-11-12T15:10:26.025326	13	NA	31	65	66	0	0	0	0	1	0	0	0	0	53	I am alone	1	1
3059	2016-11-14T16:52:25.339580	15	NA	41	71	67	0	1	0	0	0	0	0	0	1	37	Classmate/coworker	2	0
3059	2016-11-15T16:18:37.389451	16	NA	44	52	60	0	1	0	0	0	0	0	0	0	46	I am alone	1	1
3060	2016-11-02T14:01:09.356698	3	NA	65	29	36	0	1	0	0	0	1	0	0	0	67	Classmate/coworker	2	0
3060	2016-11-01T19:20:30.582020	2	NA	65	36	43	0	0	0	1	0	0	0	1	1	44	I am alone	3	1
3060	2016-11-02T12:26:35.354691	3	NA	77	18	76	0	0	0	0	1	0	0	0	0	73	I am alone	1	1
3060	2016-11-06T13:22:02.411900	7	NA	69	12	64	0	0	0	0	1	0	0	1	0	71	Family member	2	0
3060	2016-11-06T15:22:12.250267	7	NA	65	18	79	0	0	0	1	1	0	0	0	0	68	Classmate/coworker	2	0
3060	2016-11-06T17:27:48.940783	7	NA	84	10	78	0	0	0	0	0	1	0	0	0	77	Classmate/coworker	1	0
3060	2016-11-07T08:21:56.790313	8	NA	78	4	75	0	0	0	0	0	1	0	0	0	88	Acquaintance/Stranger	1	0
3060	2016-11-07T10:48:57.181999	8	NA	77	17	61	0	0	0	0	0	1	0	0	0	68	Classmate/coworker	1	0
