id	os	day	day_of_week	beep	survey_type	run_timestamp	submission_timestamp	well	discontent	state	tense	calm	placid	awake	energyless	rested	what	how	whom	n_people	too_much	work_fast	multitasking	hard_work	change_task	decide_task	schedule_task
S006	Android	1	Monday	5	work	2018-12-03T14:57:28Z	2018-12-03T15:00:08Z	4	4	4	5	3	2	3	4	4	ADMINISTRATIVE	PC	ALONE	0	5	6	3	5	2	2	2
S006	Android	1	Monday	6	work	2018-12-03T16:30:09Z	2018-12-03T16:44:38Z	5	4	4	4	4	5	4	3	4	ADMINISTRATIVE	PC	ALONE	0	5	5	2	4	1	1	2
S006	Android	1	Monday	7	work	2018-12-03T18:07:20Z	2018-12-03T18:12:50Z	3	3	5	5	4	5	2	5	3	ADMINISTRATIVE	PC	ALONE	0	5	6	4	5	1	2	2
S006	Android	2	Wednesday	1	baseline	2018-12-05T09:15:00Z	2018-12-05T09:17:02Z	5	4	5	2	6	5	6	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S006	Android	2	Wednesday	2	work	2018-12-05T10:28:24Z	2018-12-05T10:30:51Z	4	4	4	4	3	4	5	3	4	ACQUISITION	PAPER	ALONE	0	5	5	3	5	1	1	1
S006	Android	2	Wednesday	3	work	2018-12-05T12:02:11Z	2018-12-05T12:14:47Z	3	5	4	5	4	3	3	4	4	ACQUISITION	PAPER	ALONE	0	5	5	2	3	2	2	2
S006	Android	2	Wednesday	4	work	2018-12-05T13:20:28Z	2018-12-05T13:23:01Z	3	4	3	5	4	4	3	4	4	ADMINISTRATIVE	PC	ALONE	0	4	4	2	4	2	1	1
S006	Android	2	Wednesday	5	work	2018-12-05T14:51:06Z	2018-12-05T14:52:51Z	3	4	4	5	4	3	2	4	3	ADMINISTRATIVE	PC	ALONE	0	4	5	4	5	2	2	2
S006	Android	2	Wednesday	6	work	2018-12-05T16:28:15Z	2018-12-05T16:30:24Z	3	4	4	5	4	4	2	5	3	ADMINISTRATIVE	PC	ALONE	0	5	5	3	5	2	1	1
S006	Android	3	Friday	1	baseline	2018-12-07T09:15:00Z	2018-12-07T09:16:57Z	4	5	3	3	5	4	3	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S006	Android	3	Friday	2	work	2018-12-07T10:31:28Z	2018-12-07T10:33:04Z	3	4	2	4	4	4	2	4	2	ADMINISTRATIVE	PC	ALONE	0	4	5	4	5	1	1	2
S006	Android	3	Friday	3	work	2018-12-07T11:56:35Z	2018-12-07T11:58:29Z	3	4	2	4	4	3	2	5	3	ADMINISTRATIVE	PC	ALONE	0	5	5	5	5	5	2	3
S006	Android	3	Friday	5	work	2018-12-07T14:51:54Z	2018-12-07T14:54:35Z	3	4	3	5	4	4	2	5	2	ACQUISITION	PAPER	ALONE	0	4	5	3	5	1	1	1
S006	Android	3	Friday	6	work	2018-12-07T16:23:55Z	2018-12-07T16:29:25Z	4	4	4	4	4	4	4	4	4	OTHER	PC	ALONE	0	5	4	3	5	1	2	2
S007	Android	1	Monday	4	work	2019-09-30T13:26:23Z	2019-09-30T13:35:26Z	4	5	4	6	4	3	6	4	5	ADMINISTRATIVE	PC,PAPER	ALONE	0	4	2	5	3	7	7	7
S007	Android	2	Friday	1	baseline	2019-10-04T09:15:01Z	2019-10-04T10:05:08Z	7	4	5	4	4	5	6	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S007	Android	2	Friday	2	work	2019-10-04T10:36:10Z	2019-10-04T10:40:08Z	4	4	4	4	4	4	4	4	4	ACQUISITION	PC	ALONE	0	4	4	4	4	4	4	4
S007	Android	2	Friday	3	work	2019-10-04T12:04:58Z	2019-10-04T12:08:43Z	6	4	4	3	5	6	4	4	4	NETWORKING	PHONE	ALONE	0	4	4	4	4	4	4	4
S008	Android	1	Wednesday	1	baseline	2019-01-23T09:15:00Z	2019-01-23T09:26:16Z	6	4	6	3	6	6	5	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S008	Android	1	Wednesday	2	work	2019-01-23T10:36:06Z	2019-01-23T10:40:15Z	5	4	5	2	6	6	3	3	5	ACQUISITION,NETWORKING	PC	ALONE	0	3	2	5	2	6	7	7
S008	Android	1	Wednesday	3	work	2019-01-23T12:00:02Z	2019-01-23T12:03:24Z	5	4	4	3	6	7	5	3	6	ANALYSIS,ADMINISTRATIVE	PC	ALONE	0	4	2	3	2	7	7	7
S008	Android	1	Wednesday	5	work	2019-01-23T15:08:13Z	2019-01-23T15:22:14Z	5	3	4	2	6	6	3	4	4	NETWORKING	SKYPE	COLL	2	4	2	4	2	7	7	7
S008	Android	1	Wednesday	6	work	2019-01-23T16:38:12Z	2019-01-23T16:39:21Z	6	4	5	2	7	7	3	5	4	ACQUISITION	PC	ALONE	0	2	2	2	2	7	7	7
S008	Android	2	Friday	1	baseline	2019-01-25T09:15:00Z	2019-01-25T09:24:54Z	6	4	5	2	6	6	6	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S008	Android	2	Friday	2	work	2019-01-25T10:29:15Z	2019-01-25T10:34:03Z	6	2	6	2	6	6	6	2	6	ADMINISTRATIVE	PC	ALONE	0	2	2	1	2	7	7	7
S008	Android	2	Friday	3	work	2019-01-25T12:06:45Z	2019-01-25T12:08:48Z	6	2	6	2	7	6	4	3	6	ANALYSIS	PC	ALONE	0	4	4	4	2	7	7	7
S008	Android	2	Friday	4	work	2019-01-25T13:40:00Z	2019-01-25T13:55:54Z	5	4	4	2	7	7	2	5	3	ANALYSIS	PC	ALONE	0	4	2	2	2	7	7	7
S008	Android	2	Friday	5	work	2019-01-25T14:53:15Z	2019-01-25T14:54:42Z	5	6	3	5	5	3	3	6	3	BREAK	PHONE	OTHER	1	2	2	2	2	7	7	7
S008	Android	2	Friday	6	work	2019-01-25T16:33:15Z	2019-01-25T16:34:23Z	5	4	3	3	7	7	2	6	2	AUTHORING	PC	ALONE	0	2	2	2	2	7	7	7
S008	Android	2	Friday	7	work	2019-01-25T18:03:15Z	2019-01-25T18:08:28Z	6	4	5	1	7	7	2	5	2	BREAK	OTHER	ALONE	0	3	4	2	2	7	7	7
S008	Android	3	Monday	4	work	2019-01-28T13:43:17Z	2019-01-28T13:49:23Z	5	4	5	2	6	6	2	5	3	ACQUISITION	PC	ALONE	0	2	2	2	2	7	7	7
S008	Android	3	Monday	7	work	2019-01-28T18:03:17Z	2019-01-28T18:09:37Z	3	7	2	5	3	3	2	7	2	BREAK	OTHER	ALONE	0	1	1	1	1	1	7	7
S009	Android	1	Friday	1	baseline	2019-01-18T09:15:00Z	2019-01-18T09:20:12Z	7	1	7	1	7	6	7	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S009	Android	1	Friday	2	work	2019-01-18T10:26:05Z	2019-01-18T10:32:45Z	4	4	5	5	4	5	4	3	3	ADMINISTRATIVE,BREAK	FACE2FACE	COLL	3	4	3	4	4	4	4	4
S009	Android	1	Friday	3	work	2019-01-18T12:09:48Z	2019-01-18T12:23:40Z	3	4	6	5	4	5	2	4	2	NETWORKING	PHONE	ALONE	0	6	2	2	6	1	2	2
S009	Android	1	Friday	5	work	2019-01-18T15:03:04Z	2019-01-18T15:05:19Z	5	4	4	3	4	5	5	3	3	ANALYSIS	PC,PHONE	ALONE	0	4	4	4	4	4	4	4
S009	Android	1	Friday	6	work	2019-01-18T16:28:03Z	2019-01-18T16:31:46Z	3	5	4	5	4	4	2	4	4	ADMINISTRATIVE	FACE2FACE,PC	COLL,UNDER	4	4	5	4	4	4	4	4
S009	Android	1	Friday	7	work	2019-01-18T18:03:03Z	2019-01-18T18:20:13Z	3	4	4	4	4	4	4	4	4	ANALYSIS,BREAK	FACE2FACE,PC	ALONE	0	4	4	4	NA	NA	NA	NA
S009	Android	2	Monday	1	baseline	2019-01-21T09:18:37Z	2019-01-21T09:28:15Z	3	5	4	5	3	3	3	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S009	Android	2	Monday	2	work	2019-01-21T10:23:37Z	2019-01-21T10:27:28Z	3	5	3	4	3	4	3	4	3	ACQUISITION	PC	ALONE	0	4	4	4	4	4	4	4
