id	day	sleep_quality	physical_activity	pa	na	learning_goal_achievement	beep
24	20	3	150	2	3.666666667	1	1
24	21	NA	0	1.666666667	6.333333333	1	1
24	22	2	0	1.666666667	5	1	1
24	23	3	0	1.333333333	5.666666667	1	1
24	24	3	0	1.666666667	6.666666667	2	1
24	25	1	0	1	6.333333333	1	1
24	26	3	0	1.666666667	6	1	1
24	27	1	0	2.333333333	5	0	1
24	28	3	0	3	2	1	1
24	29	3	0	5	2	3	1
24	30	2	0	4	2.333333333	1	1
24	31	3	0	4.666666667	2	3	1
24	32	1	0	6.333333333	1.333333333	NA	1
25	1	4	480	4.666666667	2.666666667	3	1
25	2	4	1470	4.666666667	2.666666667	3	1
25	3	4	180	3.666666667	2.666666667	1	1
25	4	4	180	5.666666667	1	2	1
25	5	4	180	5.333333333	2.333333333	3	1
25	6	4	240	5.333333333	2.666666667	3	1
25	7	4	180	4.666666667	2	3	1
25	8	4	180	6	1.333333333	1	1
25	9	4	90	6	1.666666667	2	1
25	10	4	180	6	1.333333333	3	1
25	11	3	330	5.666666667	2.333333333	3	1
25	12	3	510	5.666666667	1.666666667	3	1
25	13	3	570	5.666666667	1.333333333	3	1
25	14	4	1560	6	1	3	1
25	15	4	480	4	1.666666667	3	1
25	16	4	180	4	2.666666667	3	1
25	17	4	180	5.666666667	1.333333333	3	1
25	18	4	180	4	1.666666667	3	1
25	19	3	360	4	1.333333333	3	1
