id	date	time_prompt	survey_taken	time_survey	day	beep	counter	number_days_total	prompt_id	fraction_of_days_with_notification	prompt_duration	phone_use	social_media_use	social_media_use_no_notification	reactibility_survey	reactibility_notification_avg	reactibility_notification_sd	reactibility_social_notification_avg	reactibility_social_notification_sd	awake	discontent	calm	without_energy	well	tense	happy	stressed	vigilance_salience_mediated	salience_ft_f	valence_mediated	valence_ft_f	valence_activity	concentrated_activity_binary	concentration_extent	concentrated_activity_alone	vigilance_reactibility	vigilance_monitoring	social_pressure_phone	scheduled_time
8	2018-03-12	2018-03-12T16:46:00Z	0	2018-03-11T23:00:00Z	1	3	32	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T16:46:00Z
8	2018-03-12	2018-03-12T14:40:00Z	0	2018-03-11T23:00:00Z	1	4	33	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T14:40:00Z
8	2018-03-12	2018-03-12T11:41:00Z	0	2018-03-11T23:00:00Z	1	5	34	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T11:41:00Z
8	2018-03-12	2018-03-12T10:30:00Z	0	2018-03-11T23:00:00Z	1	6	35	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T10:30:00Z
8	2018-03-12	2018-03-12T08:24:00Z	0	2018-03-11T23:00:00Z	1	7	36	5	1510250000000	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-12T08:24:00Z
61	2018-05-11	2018-05-11T18:51:00Z	1	2018-05-10T22:00:00Z	5	1	1	5	1510250000000	0.6	23	428	314	314	94	NA	NA	NA	NA	7	1	7	1	7	1	7	1	5	5	7	7	7	0	-	2	5	6	4	2018-05-11T18:51:00Z
61	2018-05-11	2018-05-11T16:40:00Z	0	2018-05-10T22:00:00Z	5	2	2	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-11T16:40:00Z
61	2018-05-11	2018-05-11T15:13:00Z	0	2018-05-10T22:00:00Z	5	3	3	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-11T15:13:00Z
61	2018-05-11	2018-05-11T13:54:00Z	1	2018-05-10T22:00:00Z	5	4	4	5	1510250000000	0.6	22	172	147	147	148	NA	NA	NA	NA	7	1	7	1	7	1	7	1	5	5	7	7	7	0	-	2	5	5	1	2018-05-11T13:54:00Z
61	2018-05-11	2018-05-11T12:14:00Z	0	2018-05-10T22:00:00Z	5	5	5	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-11T12:14:00Z
61	2018-05-11	2018-05-11T11:09:00Z	1	2018-05-10T22:00:00Z	5	6	6	5	1510250000000	0.6	27	36	0	0	269	NA	NA	NA	NA	7	1	7	1	7	1	7	1	2	7	7	7	7	0	-	2	1	1	1	2018-05-11T11:09:00Z
61	2018-05-11	2018-05-11T09:23:00Z	0	2018-05-10T22:00:00Z	5	7	7	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-11T09:23:00Z
61	2018-05-11	2018-05-11T07:46:00Z	0	2018-05-10T22:00:00Z	5	8	8	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-11T07:46:00Z
61	2018-05-10	2018-05-10T17:15:00Z	1	2018-05-09T22:00:00Z	4	1	9	5	1510250000000	0.6	22	307	62	49	109	227.666667	57.039947	508.125	136.625343	7	1	7	1	7	1	7	1	5	5	7	7	7	0	-	2	6	6	4	2018-05-10T17:15:00Z
61	2018-05-10	2018-05-10T15:32:00Z	0	2018-05-09T22:00:00Z	4	2	10	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T15:32:00Z
61	2018-05-10	2018-05-10T14:22:00Z	0	2018-05-09T22:00:00Z	4	3	11	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T14:22:00Z
61	2018-05-10	2018-05-10T11:40:00Z	0	2018-05-09T22:00:00Z	4	4	12	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T11:40:00Z
61	2018-05-10	2018-05-10T10:02:00Z	0	2018-05-09T22:00:00Z	4	5	13	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T10:02:00Z
61	2018-05-10	2018-05-10T08:52:00Z	0	2018-05-09T22:00:00Z	4	6	14	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T08:52:00Z
