id	no_meas	age	sex	pa	na	swls	pow	ach	aff	int	fear
41	80	31	0	4.2	2.5	2	3	5.3333	3.2175	3.3333	2.6667
42	75	21	1	4.2	3	5.4	2	3.3333	3.99	5	4
43	61	21	1	4.4	2.5	6	3.3333	5.3333	3.6527	4.6667	5
44	70	21	1	5.4	1.5	6	2.6667	3.3333	4.2298	4.6667	6
45	80	23	1	3.8	3.5	1.8	3	5.6667	3.7556	4.6667	5.3333
46	71	25	1	4.6	3	5.2	1.3333	5	4.0693	4.3333	3.3333
47	81	19	1	4	3.5	6	4.3333	5.3333	3.5613	4.6667	5
48	61	21	1	4.4	3	4.2	3.3333	4.6667	3.879	5.6667	4.6667
49	82	20	1	4.4	2	6	3.3333	4	3.3967	6	5
50	79	19	1	3.8	5	5	3	4.6667	3.9691	5	5.3333
51	71	26	1	3	3	1.8	2	6	3.1195	5.6667	6
52	75	27	0	5.2	1.5	4.6	2.3333	3	4.143	5.3333	2
53	82	22	1	3.6	3.5	6.2	2.6667	4	3.5076	5	3.3333
54	71	19	1	4.8	4	6.4	3.3333	5.3333	3.7744	6	4.6667
55	75	20	1	4.6	3	6.2	3.3333	4.3333	4.2654	5.6667	3.3333
56	81	18	1	5.4	2	6.6	2.6667	4.6667	4.3826	4.3333	2.6667
57	82	29	1	3.6	4	3.2	2.3333	5	3.6809	5.6667	5.6667
58	71	27	1	4	3.5	5.2	2.3333	3.3333	3.3358	5	4.3333
59	81	29	1	3.4	4.5	2.2	3.6667	4.3333	3.4111	4.6667	4.6667
60	82	24	1	4.6	3.5	5.8	3.3333	5.3333	3.7464	4.3333	3.3333
61	33	26	1	4.8	3.5	4.2	2.3333	4.6667	4.3004	6	5.3333
62	77	19	1	4.6	2.5	4.4	4.3333	5	4.1303	6	3.3333
63	77	20	0	3.8	1.5	5.4	2.6667	5	3.3819	4.3333	4
64	81	21	0	5.2	3	6.4	3	4	4.0251	3.6667	2.3333
65	82	22	1	4.8	4.5	5.8	3	3	4.3522	3.6667	4
66	81	37	1	3.8	3	4.6	4.6667	4	3.0281	4.3333	4
67	82	21	0	5.2	2.5	5	2	5.3333	3.91	4.3333	2
68	79	21	1	2.6	3	2.6	3	3.3333	3.1354	4.3333	4
69	69	19	1	4.4	3.5	7	3	4.6667	3.9888	5.6667	5
70	72	18	1	5.2	2	6.2	5.6667	5.6667	4.2377	6	3
71	82	20	1	4.4	3.5	6.4	3	4.6667	4.2731	5.6667	4.3333
