id	angry	depressed	sad	anxious	relaxed	happy	day	beep
3	19	8	16	1	37	70	NA	NA
3	26	12	21	17	37	61	NA	NA
3	27	16	16	48	24	46	NA	NA
3	26	1	14	22	49	55	NA	NA
3	6	4	2	7	59	40	NA	NA
3	1	7	20	7	84	42	NA	NA
3	25	7	27	11	52	42	NA	NA
3	15	20	42	6	60	56	NA	NA
3	3	1	25	1	60	59	NA	NA
3	5	1	19	1	59	64	NA	NA
3	14	14	19	5	61	68	NA	NA
3	16	16	19	1	61	71	NA	NA
3	13	16	13	1	70	79	NA	NA
3	9	1	16	12	54	61	NA	NA
3	1	13	1	1	64	54	NA	NA
3	1	1	6	7	78	65	NA	NA
3	26	1	9	19	44	62	NA	NA
3	23	18	30	7	47	50	NA	NA
3	22	14	19	1	54	46	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	1	13	10	8	67	53	NA	NA
3	1	14	11	2	61	61	NA	NA
3	17	1	5	3	61	62	NA	NA
3	22	7	8	1	60	59	NA	NA
3	27	1	1	4	36	39	NA	NA
3	22	9	8	11	66	52	NA	NA
3	19	1	1	15	62	67	NA	NA
3	17	15	9	8	64	62	NA	NA
3	20	12	17	1	39	63	NA	NA
3	42	6	16	1	90	76	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	18	11	16	9	67	61	NA	NA
3	22	9	9	1	61	57	NA	NA
3	20	1	14	1	44	54	NA	NA
3	12	17	4	10	39	61	NA	NA
3	24	1	11	9	57	59	NA	NA
3	26	10	19	9	75	57	NA	NA
3	11	8	21	8	71	58	NA	NA
3	13	9	27	8	76	50	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
3	1	5	13	1	74	59	NA	NA
3	12	8	6	1	81	60	NA	NA
4	1	14	17	9	46	53	NA	NA
4	1	14	9	11	48	62	NA	NA
4	45	3	16	14	26	34	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	15	6	1	42	24	54	NA	NA
4	34	26	52	45	41	23	NA	NA
4	10	20	23	16	50	52	NA	NA
4	1	1	66	23	26	20	NA	NA
4	1	42	59	2	55	42	NA	NA
4	40	26	10	1	14	22	NA	NA
4	12	21	32	20	60	26	NA	NA
4	1	1	17	3	69	71	NA	NA
4	9	1	12	1	78	76	NA	NA
4	21	11	22	3	52	55	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	53	8	13	32	57	15	NA	NA
4	37	5	1	6	59	25	NA	NA
4	10	49	45	1	62	49	NA	NA
4	47	6	39	14	15	45	NA	NA
4	15	1	17	35	52	49	NA	NA
4	1	1	1	1	18	78	NA	NA
4	1	1	1	26	39	61	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	1	1	1	1	38	69	NA	NA
4	1	5	1	4	81	86	NA	NA
4	53	11	12	8	13	24	NA	NA
4	9	1	1	3	31	22	NA	NA
4	45	5	10	3	1	33	NA	NA
4	37	8	9	1	53	61	NA	NA
4	54	1	43	1	42	38	NA	NA
4	1	1	26	1	57	55	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	18	27	53	47	43	48	NA	NA
4	1	6	47	43	52	68	NA	NA
4	1	1	55	57	15	24	NA	NA
4	1	52	52	47	5	15	NA	NA
4	1	1	24	32	51	54	NA	NA
4	1	31	31	51	54	52	NA	NA
4	2	1	15	36	61	55	NA	NA
4	42	43	1	20	21	47	NA	NA
4	1	41	1	1	54	42	NA	NA
4	55	1	26	23	34	30	NA	NA
4	44	57	61	41	19	19	NA	NA
4	39	51	52	61	23	15	NA	NA
4	34	3	45	12	68	61	NA	NA
4	20	9	16	9	34	47	NA	NA
4	1	20	47	13	39	47	NA	NA
4	8	1	12	3	47	62	NA	NA
4	1	40	1	2	59	55	NA	NA
4	48	1	12	1	54	61	NA	NA
4	1	1	9	4	50	53	NA	NA
4	61	40	1	12	23	43	NA	NA
4	1	6	8	2	75	79	NA	NA
4	47	44	1	1	54	49	NA	NA
4	48	1	31	2	38	47	NA	NA
4	63	1	1	1	61	63	NA	NA
4	1	1	1	1	57	48	NA	NA
4	48	1	1	1	47	53	NA	NA
4	1	1	1	1	68	53	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
6	13	5	5	12	72	36	NA	NA
6	9	15	12	4	12	66	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA
6	3	3	6	10	79	78	NA	NA
6	11	2	6	1	86	75	NA	NA
6	1	4	4	1	88	88	NA	NA
6	36	9	3	5	72	36	NA	NA
6	59	20	14	10	27	29	NA	NA
6	62	55	88	40	12	13	NA	NA
6	64	69	69	43	12	12	NA	NA
6	59	58	61	12	19	19	NA	NA
6	21	40	48	19	21	24	NA	NA
6	17	24	19	12	82	68	NA	NA
6	26	24	33	14	59	35	NA	NA
6	12	5	1	1	89	61	NA	NA
6	12	14	13	9	65	56	NA	NA
6	41	17	51	10	28	33	NA	NA
6	9	10	16	4	52	50	NA	NA
6	9	8	5	12	65	54	NA	NA
6	3	1	1	6	77	68	NA	NA
6	25	14	3	7	73	44	NA	NA
6	1	1	21	1	59	50	NA	NA
6	75	67	74	12	17	12	NA	NA
6	83	82	95	6	19	5	NA	NA
6	26	41	11	14	45	39	NA	NA
6	24	16	42	12	37	10	NA	NA
6	8	11	19	5	64	61	NA	NA
